datetime,pm25,pm10,no2,o3,co,temperature,humidity,wind_speed,hour,day_of_week,month,day_of_year
2024-01-01 00:00:00,15.8,11.4,6.3,45.0,297.3,20.3,66.6,3.7,0,0,1,1
2024-01-01 01:00:00,13.0,17.4,5.8,35.6,495.8,23.2,71.1,4.2,1,0,1,1
2024-01-01 02:00:00,,,,,,,,,2,0,1,1
2024-01-01 03:00:00,21.4,14.9,8.5,44.2,280.0,22.1,77.1,4.9,3,0,1,1
2024-01-01 04:00:00,12.7,20.0,9.5,67.3,477.5,21.4,71.7,3.9,4,0,1,1
2024-01-01 05:00:00,12.7,13.2,6.9,49.6,379.3,20.3,69.1,3.6,5,0,1,1
2024-01-01 06:00:00,21.8,8.6,14.2,29.9,661.2,20.0,73.7,4.7,6,0,1,1
2024-01-01 07:00:00,25.6,21.5,11.6,57.5,406.4,17.7,72.1,3.6,7,0,1,1
2024-01-01 08:00:00,17.7,24.9,12.9,36.3,450.5,18.6,65.8,5.0,8,0,1,1
2024-01-01 09:00:00,24.0,22.5,17.0,55.3,737.0,18.3,70.9,4.4,9,0,1,1
2024-01-01 10:00:00,11.8,11.5,7.0,35.8,239.1,19.4,70.2,4.3,10,0,1,1
2024-01-01 11:00:00,11.8,9.4,9.6,47.8,521.4,20.3,73.3,3.3,11,0,1,1
2024-01-01 12:00:00,14.6,14.0,16.6,33.7,244.3,19.9,69.5,4.2,12,0,1,1
2024-01-01 13:00:00,7.6,21.3,11.8,34.1,421.4,20.5,70.4,3.3,13,0,1,1
2024-01-01 14:00:00,8.1,23.7,10.7,22.2,201.9,21.4,72.2,4.6,14,0,1,1
2024-01-01 15:00:00,11.5,23.3,11.0,51.0,355.7,19.3,76.3,3.3,15,0,1,1
2024-01-01 16:00:00,10.0,12.8,8.9,48.1,232.7,21.6,73.6,3.7,16,0,1,1
2024-01-01 17:00:00,14.9,11.5,20.5,49.2,625.4,22.4,86.5,4.0,17,0,1,1
2024-01-01 18:00:00,18.6,34.0,13.8,46.3,458.0,20.9,66.8,4.6,18,0,1,1
2024-01-01 19:00:00,,,,,,,,,19,0,1,1
2024-01-01 20:00:00,,,,,,,,,20,0,1,1
2024-01-01 21:00:00,,,,,,,,,21,0,1,1
2024-01-01 22:00:00,13.9,12.6,15.0,30.3,432.9,21.3,71.2,3.5,22,0,1,1
2024-01-01 23:00:00,8.9,16.1,10.1,51.4,283.5,23.2,65.6,3.8,23,0,1,1
2024-01-02 00:00:00,11.8,19.3,11.5,58.6,278.0,21.5,73.8,3.0,0,1,1,2
2024-01-02 01:00:00,14.4,21.0,11.7,34.2,349.2,23.3,71.9,4.7,1,1,1,2
2024-01-02 02:00:00,9.8,17.4,4.7,36.7,244.4,19.8,70.0,3.7,2,1,1,2
2024-01-02 03:00:00,15.6,18.4,6.0,51.2,396.6,19.3,68.1,3.1,3,1,1,2
2024-01-02 04:00:00,11.6,17.1,8.4,22.6,458.1,22.4,78.5,4.7,4,1,1,2
2024-01-02 05:00:00,12.7,20.5,8.6,26.7,415.7,18.2,72.6,4.9,5,1,1,2
2024-01-02 06:00:00,11.6,18.3,6.9,27.8,427.1,23.9,74.4,4.3,6,1,1,2
2024-01-02 07:00:00,,,,,,,,,7,1,1,2
2024-01-02 08:00:00,20.8,23.1,15.7,63.8,459.9,20.3,73.9,3.8,8,1,1,2
2024-01-02 09:00:00,15.2,25.6,14.5,18.7,493.4,22.5,71.8,3.5,9,1,1,2
2024-01-02 10:00:00,17.8,19.3,6.7,47.4,544.8,21.5,81.0,4.4,10,1,1,2
2024-01-02 11:00:00,9.6,18.1,10.3,57.2,295.8,17.5,84.6,3.7,11,1,1,2
2024-01-02 12:00:00,14.8,18.7,4.2,36.7,176.5,18.5,80.6,3.1,12,1,1,2
2024-01-02 13:00:00,7.7,25.0,9.8,31.6,260.6,20.7,73.5,3.1,13,1,1,2
2024-01-02 14:00:00,9.3,18.1,10.7,45.3,288.8,20.4,73.2,4.2,14,1,1,2
2024-01-02 15:00:00,14.7,13.7,11.3,41.3,184.4,22.7,78.9,3.6,15,1,1,2
2024-01-02 16:00:00,17.3,21.7,6.0,61.7,470.9,20.7,69.6,3.3,16,1,1,2
2024-01-02 17:00:00,14.6,11.1,11.3,14.4,219.9,17.6,81.9,4.1,17,1,1,2
2024-01-02 18:00:00,24.2,21.7,13.0,28.6,724.6,19.0,77.3,3.6,18,1,1,2
2024-01-02 19:00:00,22.9,33.2,14.1,51.7,456.7,21.6,72.0,3.1,19,1,1,2
2024-01-02 20:00:00,16.1,35.1,24.1,42.2,996.1,16.5,74.8,3.4,20,1,1,2
2024-01-02 21:00:00,11.2,11.5,21.1,55.8,324.1,17.3,76.5,4.6,21,1,1,2
2024-01-02 22:00:00,12.1,14.9,10.6,45.9,305.0,19.4,71.3,4.7,22,1,1,2
2024-01-02 23:00:00,,,,,,,,,23,1,1,2
2024-01-03 00:00:00,15.8,14.8,11.4,36.4,261.2,19.7,80.0,4.1,0,2,1,3
2024-01-03 01:00:00,8.4,22.7,14.8,104.2,420.0,21.1,72.3,4.9,1,2,1,3
2024-01-03 02:00:00,,,,,,,,,2,2,1,3
2024-01-03 03:00:00,12.7,17.0,27.9,50.1,295.6,19.9,73.1,4.4,3,2,1,3
2024-01-03 04:00:00,11.6,14.5,8.3,42.4,344.2,18.8,67.9,4.4,4,2,1,3
2024-01-03 05:00:00,17.1,11.4,11.7,51.0,254.8,21.8,65.3,3.1,5,2,1,3
2024-01-03 06:00:00,19.4,26.1,18.4,57.2,333.7,17.6,71.5,3.6,6,2,1,3
2024-01-03 07:00:00,28.2,30.6,26.9,48.6,586.9,19.7,68.8,4.9,7,2,1,3
2024-01-03 08:00:00,,,,,,,,,8,2,1,3
2024-01-03 09:00:00,19.5,31.8,16.0,83.9,735.4,18.6,71.4,3.1,9,2,1,3
2024-01-03 10:00:00,15.7,16.7,17.9,45.4,451.4,17.0,75.9,4.1,10,2,1,3
2024-01-03 11:00:00,,,,,,,,,11,2,1,3
2024-01-03 12:00:00,12.3,19.5,13.7,44.3,193.3,21.5,82.6,4.9,12,2,1,3
2024-01-03 13:00:00,13.5,13.7,9.4,37.3,454.9,21.6,72.7,4.4,13,2,1,3
2024-01-03 14:00:00,10.2,15.4,7.5,71.5,444.5,19.5,67.4,4.3,14,2,1,3
2024-01-03 15:00:00,9.9,17.7,23.2,46.4,426.0,17.6,77.0,4.8,15,2,1,3
2024-01-03 16:00:00,18.2,14.7,13.8,43.4,230.3,19.9,74.9,4.3,16,2,1,3
